;date;Piedmont_driving;Piedmont_walking;Day_Of_Week;Piedmont_driving_mean;Piedmont_walking_mean
48;2020-03-01;-22.58;-34.56999999999999;7;115.42;109.69
49;2020-03-02;-12.75;-34.52000000000001;1;99.33;103.54
50;2020-03-03;-8.780000000000001;-15.409999999999997;2;102.03;104.63
51;2020-03-04;-15.509999999999991;-19.560000000000002;3;106.99;109.52
52;2020-03-05;-17.25;-34.260000000000005;4;106.47;110.62
53;2020-03-06;-27.429999999999993;-43.19999999999999;5;119.96;130.01
54;2020-03-07;-31.760000000000005;-57.18000000000001;6;125.12;152.24
55;2020-03-08;-47.730000000000004;-58.419999999999995;7;115.42;109.69
56;2020-03-09;-42.07;-55.11000000000001;1;99.33;103.54
57;2020-03-10;-60.78;-62.699999999999996;2;102.03;104.63
58;2020-03-11;-71.34;-68.94999999999999;3;106.99;109.52
59;2020-03-12;-79.39;-82.75;4;106.47;110.62
60;2020-03-13;-93.63;-98.22999999999999;5;119.96;130.01
61;2020-03-14;-106.77000000000001;-127.68;6;125.12;152.24
62;2020-03-15;-98.95;-87.53;7;115.42;109.69
63;2020-03-16;-76.16;-78.52000000000001;1;99.33;103.54
64;2020-03-17;-78.48;-78.03;2;102.03;104.63
65;2020-03-18;-84.00999999999999;-85.49;3;106.99;109.52
66;2020-03-19;-82.41;-84.05000000000001;4;106.47;110.62
67;2020-03-20;-97.06;-103.22;5;119.96;130.01
68;2020-03-21;-106.21000000000001;-125.62;6;125.12;152.24
69;2020-03-22;-101.6;-92.56;7;115.42;109.69
70;2020-03-23;-79.47;-83.97;1;99.33;103.54
71;2020-03-24;-80.84;-82.25999999999999;2;102.03;104.63
72;2020-03-25;-85.78;-87.24;3;106.99;109.52
73;2020-03-26;-85.6;-88.44;4;106.47;110.62
74;2020-03-27;-98.19;-105.41999999999999;5;119.96;130.01
75;2020-03-28;-106.19;-126.83000000000001;6;125.12;152.24
76;2020-03-29;-100.05;-93.42999999999999;7;115.42;109.69
77;2020-03-30;-78.36;-83.25;1;99.33;103.54
78;2020-03-31;-79.78;-82.52;2;102.03;104.63
79;2020-04-01;-84.11;-85.28;3;106.99;109.52
80;2020-04-02;-83.47;-86.2;4;106.47;110.62
81;2020-04-03;-96.07;-100.19999999999999;5;119.96;130.01
