,ds,country,polygon_source,polygon_id,polygon_name,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,baseline_name,baseline_type
0,2020-03-01,ITA,GADM,ITA.13_1,Piemonte,-0.13483,0.21336,full_february,DAY_OF_WEEK
1,2020-03-02,ITA,GADM,ITA.13_1,Piemonte,-0.12708,0.1611,full_february,DAY_OF_WEEK
2,2020-03-03,ITA,GADM,ITA.13_1,Piemonte,-0.05433,0.12924,full_february,DAY_OF_WEEK
3,2020-03-04,ITA,GADM,ITA.13_1,Piemonte,-0.057,0.12595,full_february,DAY_OF_WEEK
4,2020-03-05,ITA,GADM,ITA.13_1,Piemonte,-0.10948,0.14849,full_february,DAY_OF_WEEK
5,2020-03-06,ITA,GADM,ITA.13_1,Piemonte,-0.12017,0.13987,full_february,DAY_OF_WEEK
6,2020-03-07,ITA,GADM,ITA.13_1,Piemonte,-0.09137,0.15741,full_february,DAY_OF_WEEK
7,2020-03-08,ITA,GADM,ITA.13_1,Piemonte,-0.20544,0.23501,full_february,DAY_OF_WEEK
8,2020-03-09,ITA,GADM,ITA.13_1,Piemonte,-0.21828,0.18969,full_february,DAY_OF_WEEK
9,2020-03-10,ITA,GADM,ITA.13_1,Piemonte,-0.2815,0.21842,full_february,DAY_OF_WEEK
10,2020-03-11,ITA,GADM,ITA.13_1,Piemonte,-0.34502,0.24392,full_february,DAY_OF_WEEK
11,2020-03-12,ITA,GADM,ITA.13_1,Piemonte,-0.44958,0.31853,full_february,DAY_OF_WEEK
12,2020-03-13,ITA,GADM,ITA.13_1,Piemonte,-0.49204,0.33224,full_february,DAY_OF_WEEK
13,2020-03-14,ITA,GADM,ITA.13_1,Piemonte,-0.63731,0.44763,full_february,DAY_OF_WEEK
14,2020-03-15,ITA,GADM,ITA.13_1,Piemonte,-0.7242,0.565,full_february,DAY_OF_WEEK
15,2020-03-16,ITA,GADM,ITA.13_1,Piemonte,-0.53882,0.38401,full_february,DAY_OF_WEEK
16,2020-03-17,ITA,GADM,ITA.13_1,Piemonte,-0.5351,0.38551,full_february,DAY_OF_WEEK
17,2020-03-18,ITA,GADM,ITA.13_1,Piemonte,-0.55671,0.40121,full_february,DAY_OF_WEEK
18,2020-03-19,ITA,GADM,ITA.13_1,Piemonte,-0.5672,0.40625,full_february,DAY_OF_WEEK
19,2020-03-20,ITA,GADM,ITA.13_1,Piemonte,-0.58278,0.41059,full_february,DAY_OF_WEEK
20,2020-03-21,ITA,GADM,ITA.13_1,Piemonte,-0.67029,0.47001,full_february,DAY_OF_WEEK
21,2020-03-22,ITA,GADM,ITA.13_1,Piemonte,-0.77799,0.64858,full_february,DAY_OF_WEEK
22,2020-03-23,ITA,GADM,ITA.13_1,Piemonte,-0.63641,0.4823,full_february,DAY_OF_WEEK
23,2020-03-24,ITA,GADM,ITA.13_1,Piemonte,-0.62558,0.47094,full_february,DAY_OF_WEEK
24,2020-03-25,ITA,GADM,ITA.13_1,Piemonte,-0.64336,0.49281,full_february,DAY_OF_WEEK
25,2020-03-26,ITA,GADM,ITA.13_1,Piemonte,-0.66173,0.50297,full_february,DAY_OF_WEEK
26,2020-03-27,ITA,GADM,ITA.13_1,Piemonte,-0.66502,0.48721,full_february,DAY_OF_WEEK
27,2020-03-28,ITA,GADM,ITA.13_1,Piemonte,-0.69561,0.49211,full_february,DAY_OF_WEEK
28,2020-03-29,ITA,GADM,ITA.13_1,Piemonte,-0.77347,0.63434,full_february,DAY_OF_WEEK
29,2020-03-30,ITA,GADM,ITA.13_1,Piemonte,-0.65458,0.49115,full_february,DAY_OF_WEEK
30,2020-03-31,ITA,GADM,ITA.13_1,Piemonte,-0.64606,0.48749,full_february,DAY_OF_WEEK
31,2020-04-01,ITA,GADM,ITA.13_1,Piemonte,-0.63876,0.46646,full_february,DAY_OF_WEEK
32,2020-04-02,ITA,GADM,ITA.13_1,Piemonte,-0.63428,0.45601,full_february,DAY_OF_WEEK
33,2020-04-03,ITA,GADM,ITA.13_1,Piemonte,-0.63256,0.43863,full_february,DAY_OF_WEEK
34,2020-04-04,ITA,GADM,ITA.13_1,Piemonte,-0.68214,0.47924,full_february,DAY_OF_WEEK
35,2020-04-05,ITA,GADM,ITA.13_1,Piemonte,-0.76573,0.61437,full_february,DAY_OF_WEEK
36,2020-04-06,ITA,GADM,ITA.13_1,Piemonte,-0.61704,0.43995,full_february,DAY_OF_WEEK
37,2020-04-07,ITA,GADM,ITA.13_1,Piemonte,-0.60535,0.4353,full_february,DAY_OF_WEEK
38,2020-04-08,ITA,GADM,ITA.13_1,Piemonte,-0.61167,0.42873,full_february,DAY_OF_WEEK
39,2020-04-09,ITA,GADM,ITA.13_1,Piemonte,-0.60195,0.41971,full_february,DAY_OF_WEEK
40,2020-04-10,ITA,GADM,ITA.13_1,Piemonte,-0.60133,0.40089,full_february,DAY_OF_WEEK
41,2020-04-11,ITA,GADM,ITA.13_1,Piemonte,-0.66184,0.44677,full_february,DAY_OF_WEEK
42,2020-04-12,ITA,GADM,ITA.13_1,Piemonte,-0.77993,0.62561,full_february,DAY_OF_WEEK
43,2020-04-13,ITA,GADM,ITA.13_1,Piemonte,-0.80833,0.63551,full_february,DAY_OF_WEEK
44,2020-04-14,ITA,GADM,ITA.13_1,Piemonte,-0.58842,0.41162,full_february,DAY_OF_WEEK
45,2020-04-15,ITA,GADM,ITA.13_1,Piemonte,-0.58615,0.41703,full_february,DAY_OF_WEEK
46,2020-04-16,ITA,GADM,ITA.13_1,Piemonte,-0.57518,0.40407,full_february,DAY_OF_WEEK
47,2020-04-17,ITA,GADM,ITA.13_1,Piemonte,-0.579,0.39594,full_february,DAY_OF_WEEK
48,2020-04-18,ITA,GADM,ITA.13_1,Piemonte,-0.647,0.44129,full_february,DAY_OF_WEEK
