sub_region_1,iso_3166_2_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,15/02/2020,1,0,23,4,0,-1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,16/02/2020,1,0,5,7,1,-1
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,17/02/2020,-1,1,3,0,0,0
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,18/02/2020,2,0,22,3,0,0
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,19/02/2020,1,0,15,0,0,0
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,20/02/2020,2,1,23,4,0,0
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,21/02/2020,1,1,25,5,0,0
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,22/02/2020,-3,2,28,5,-3,0
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,23/02/2020,-8,15,17,3,1,0
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,24/02/2020,-6,23,31,-21,-21,5
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,25/02/2020,-10,3,3,-26,-21,7
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,26/02/2020,-14,-7,-12,-29,-19,8
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,27/02/2020,-9,-4,-2,-26,-18,7
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,28/02/2020,-8,-3,24,-22,-17,7
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,29/02/2020,-12,-1,-8,-18,-7,5
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,01/03/2020,-11,-2,3,-14,-3,3
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,02/03/2020,-15,-10,-38,-29,-15,7
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,03/03/2020,-2,1,21,-20,-14,5
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,04/03/2020,-4,1,25,-21,-13,5
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,05/03/2020,-14,-3,-23,-27,-15,7
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,06/03/2020,-13,0,4,-25,-15,8
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,07/03/2020,-15,2,26,-17,-8,5
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,08/03/2020,-34,5,-2,-25,-8,6
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,09/03/2020,-31,-2,-19,-42,-24,12
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,10/03/2020,-43,-7,-21,-51,-30,16
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,11/03/2020,-50,-14,-19,-56,-35,19
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,12/03/2020,-69,-23,-57,-66,-44,24
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,13/03/2020,-73,-26,-51,-69,-50,28
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,14/03/2020,-84,-44,-77,-75,-55,26
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,15/03/2020,-90,-61,-78,-80,-52,22
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,16/03/2020,-73,-35,-58,-73,-56,27
Piedmont,IT-21,ChIJZ7GdATt0h0cR_zsS8u24x7w,17/03/2020,-75,-38,-56,-73,-59,29
