sub_region_1,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Piedmont,15/02/2020,1,0,23,4,0,-1
Piedmont,16/02/2020,1,0,5,7,1,-1
Piedmont,17/02/2020,-1,1,3,0,0,0
Piedmont,18/02/2020,2,0,22,3,0,0
Piedmont,19/02/2020,1,0,15,0,0,0
Piedmont,20/02/2020,2,1,23,4,0,0
Piedmont,21/02/2020,1,1,25,5,0,0
Piedmont,22/02/2020,-3,2,28,5,-3,0
Piedmont,23/02/2020,-8,15,17,3,1,0
Piedmont,24/02/2020,-6,23,31,-21,-21,5
Piedmont,25/02/2020,-10,3,3,-26,-21,7
Piedmont,26/02/2020,-14,-7,-12,-29,-19,8
Piedmont,27/02/2020,-9,-4,-2,-26,-18,7
Piedmont,28/02/2020,-8,-3,24,-22,-17,7
Piedmont,29/02/2020,-12,-1,-8,-18,-7,5
Piedmont,01/03/2020,-11,-2,3,-14,-3,3
Piedmont,02/03/2020,-15,-10,-38,-29,-15,7
Piedmont,03/03/2020,-2,1,21,-20,-14,5
Piedmont,04/03/2020,-4,1,25,-21,-13,5
Piedmont,05/03/2020,-14,-3,-23,-27,-15,7
Piedmont,06/03/2020,-13,0,4,-25,-15,8
Piedmont,07/03/2020,-15,2,26,-17,-8,5
Piedmont,08/03/2020,-34,5,-2,-25,-8,6
Piedmont,09/03/2020,-31,-2,-19,-42,-24,12
Piedmont,10/03/2020,-43,-7,-21,-51,-30,16
Piedmont,11/03/2020,-50,-14,-19,-56,-35,19
Piedmont,12/03/2020,-69,-23,-57,-66,-44,24
Piedmont,13/03/2020,-73,-26,-51,-69,-50,28
Piedmont,14/03/2020,-84,-44,-77,-75,-55,26
Piedmont,15/03/2020,-90,-61,-78,-80,-52,22
Piedmont,16/03/2020,-73,-35,-58,-73,-56,27
Piedmont,17/03/2020,-75,-38,-56,-73,-59,29
Piedmont,18/03/2020,-77,-42,-61,-75,-60,30
Piedmont,19/03/2020,-77,-41,-65,-76,-61,31
Piedmont,20/03/2020,-79,-37,-71,-76,-62,33
Piedmont,21/03/2020,-86,-51,-82,-79,-59,26
Piedmont,22/03/2020,-94,-82,-91,-86,-59,24
Piedmont,23/03/2020,-80,-45,-79,-81,-69,33
Piedmont,24/03/2020,-81,-46,-77,-80,-70,34
Piedmont,25/03/2020,-82,-49,-80,-81,-70,35
Piedmont,26/03/2020,-83,-49,-80,-82,-73,36
Piedmont,27/03/2020,-83,-45,-80,-81,-72,38
Piedmont,28/03/2020,-87,-54,-83,-80,-62,27
Piedmont,29/03/2020,-94,-82,-89,-85,-59,23
Piedmont,30/03/2020,-82,-47,-79,-80,-71,34
Piedmont,31/03/2020,-90,-42,-77,-79,-71,34
Piedmont,01/04/2020,-90,-40,-75,-78,-70,34
Piedmont,02/04/2020,-89,-39,-73,-78,-70,35
Piedmont,03/04/2020,-85,-36,-74,-78,-70,37
Piedmont,04/04/2020,-89,-49,-82,-78,-61,27
Piedmont,05/04/2020,-95,-80,-88,-85,-59,23
Piedmont,06/04/2020,-82,-38,-73,-77,-67,32
Piedmont,07/04/2020,-81,-36,-72,-77,-68,33
Piedmont,08/04/2020,-81,-36,-73,-77,-67,33
Piedmont,09/04/2020,-80,-31,-72,-77,-67,33
Piedmont,10/04/2020,-80,-25,-72,-76,-68,35
Piedmont,11/04/2020,-85,-42,-81,-76,-59,26
Piedmont,12/04/2020,-96,-90,-90,-86,-61,24
