sub_region_2,iso_3166_2_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,15/02/2020,0,-2,19,2,0,-1
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,15/02/2020,-5,-6,26,12,0,-1
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,15/02/2020,1,-1,15,5,0,-1
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,15/02/2020,-4,-5,39,1,1,-1
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,15/02/2020,1,-1,18,10,0,-1
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,15/02/2020,-4,-2,34,7,0,-1
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,15/02/2020,6,-2,30,24,1,-1
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,15/02/2020,1,0,22,4,1,-1
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,16/02/2020,-3,-6,0,4,0,-1
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,16/02/2020,0,-5,29,2,-1,-1
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,16/02/2020,6,-3,25,11,1,-1
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,16/02/2020,-7,-11,2,8,4,0
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,16/02/2020,2,-3,10,16,1,-1
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,16/02/2020,-2,-3,11,11,2,-1
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,16/02/2020,8,0,9,8,3,0
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,16/02/2020,28,12,22,19,3,-1
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,17/02/2020,0,0,4,1,0,0
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,17/02/2020,-6,-4,-19,-4,0,1
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,17/02/2020,-1,2,9,1,0,0
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,17/02/2020,-2,5,10,2,-1,0
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,17/02/2020,-2,0,7,4,0,0
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,17/02/2020,-5,-2,-3,0,0,0
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,17/02/2020,-1,0,-2,9,2,0
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,17/02/2020,-2,2,3,-3,1,0
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,18/02/2020,2,-2,23,3,0,0
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,18/02/2020,0,-1,14,2,1,0
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,18/02/2020,-1,-4,20,2,2,0
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,18/02/2020,1,-3,21,4,0,0
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,18/02/2020,3,-2,14,5,1,-1
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,18/02/2020,2,-4,30,2,0,0
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,18/02/2020,5,0,42,8,2,-1
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,18/02/2020,1,5,25,0,1,0
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,19/02/2020,1,-2,17,0,0,0
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,19/02/2020,-1,-2,17,0,1,0
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,19/02/2020,0,1,6,-2,1,0
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,19/02/2020,-1,-5,24,0,0,0
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,19/02/2020,1,-2,17,6,1,0
Province of Novara,IT-NO,ChIJ2xgl4f5nhkcRkH08R33mBQM,19/02/2020,1,-3,22,3,1,0
Province of Verbano-Cusio-Ossola,IT-VB,ChIJz-0lPxTxhUcR0IM8R33mBQM,19/02/2020,4,2,15,7,2,0
Province of Vercelli,IT-VC,ChIJ70WczOs8hkcRgH08R33mBQM,19/02/2020,0,4,28,-4,2,-1
Metropolitan City of Turin,IT-TO,ChIJ_8Ubk5VFiEcRcH08R33mBQM,20/02/2020,3,-1,25,4,0,-1
Province of Alessandria,IT-AL,ChIJD07L2Ytwh0cRwH08R33mBQM,20/02/2020,0,-2,18,3,0,-1
Province of Asti,IT-AT,ChIJ9ZIOjhqNh0cRsH08R33mBQM,20/02/2020,2,0,10,4,2,-1
Province of Biella,IT-BI,ChIJza00X2IhhkcRYIM8R33mBQM,20/02/2020,-1,3,17,-1,0,0
Province of Cuneo,IT-CN,ChIJedLPEntCzRIRoH08R33mBQM,20/02/2020,3,0,15,8,1,-1
